	-5P	-5G	-5A	-5C	-5S	-5T	-5V	-5I	-5L	-5M	-5F	-5Y	-5W	-5H	-5K	-5R	-5Q	-5N	-5D	-5E	-5s	-5t	-5y	-4P	-4G	-4A	-4C	-4S	-4T	-4V	-4I	-4L	-4M	-4F	-4Y	-4W	-4H	-4K	-4R	-4Q	-4N	-4D	-4E	-4s	-4t	-4y	-3P	-3G	-3A	-3C	-3S	-3T	-3V	-3I	-3L	-3M	-3F	-3Y	-3W	-3H	-3K	-3R	-3Q	-3N	-3D	-3E	-3s	-3t	-3y	-2P	-2G	-2A	-2C	-2S	-2T	-2V	-2I	-2L	-2M	-2F	-2Y	-2W	-2H	-2K	-2R	-2Q	-2N	-2D	-2E	-2s	-2t	-2y	-1P	-1G	-1A	-1C	-1S	-1T	-1V	-1I	-1L	-1M	-1F	-1Y	-1W	-1H	-1K	-1R	-1Q	-1N	-1D	-1E	-1s	-1t	-1y	1P	1G	1A	1C	1S	1T	1V	1I	1L	1M	1F	1Y	1W	1H	1K	1R	1Q	1N	1D	1E	1s	1t	1y	2P	2G	2A	2C	2S	2T	2V	2I	2L	2M	2F	2Y	2W	2H	2K	2R	2Q	2N	2D	2E	2s	2t	2y	3P	3G	3A	3C	3S	3T	3V	3I	3L	3M	3F	3Y	3W	3H	3K	3R	3Q	3N	3D	3E	3s	3t	3y	4P	4G	4A	4C	4S	4T	4V	4I	4L	4M	4F	4Y	4W	4H	4K	4R	4Q	4N	4D	4E	4s	4t	4y
MOS	13881027.82	13305559.11	12509837.49	21878169.71	15782885.9	12877535.86	10476988.01	9569994.16	10574282.7	8998526.23	9280451.93	13147611.39	10457554.05	10197671.74	10284358.83	9399007.99	9643898.85	10185144.65	13756710.51	10773538.39	12801160.54	12801160.54	12718328.0	14866997.24	13277137.12	11497250.0	17019932.39	12286628.22	10485478.46	9039815.4	7710970.68	8251872.64	10229875.92	9654955.64	12508189.54	11614118.43	9996469.59	10897343.29	10676390.93	10728682.32	11274913.91	12739437.8	14543736.0	14307497.19	14307497.19	11752218.56	12406056.9	13240851.66	9997940.68	20111151.11	14046461.14	10586961.45	5388105.62	5296951.34	5792131.02	7248624.53	6983781.07	8818847.56	8002120.84	8873402.68	10781147.88	12931147.6	9390257.87	11255992.96	17230320.46	12842412.69	11784382.04	11784382.04	12084428.0	14958257.86	8274983.56	10104145.17	16581803.4	19780502.78	18533458.71	8546148.22	8634098.48	7480175.07	7435945.39	8536854.28	10546351.77	7927021.91	8565519.27	9638469.29	9930070.16	8146500.84	8478522.38	13418085.68	11772257.58	21550567.98	21550567.98	12014707.96	12691791.08	10694269.27	11170143.18	14375919.17	13367656.04	10065780.71	7786725.92	6986923.14	8751011.26	8663482.38	7741880.4	9975212.98	7579659.44	10251618.43	11165753.14	10891290.53	9376989.35	11924690.98	17745411.6	12466704.83	23540741.51	23540741.51	14954916.61	9575539.09	13679758.38	10298625.64	25106772.59	12610419.19	9819480.54	6284325.45	7121296.94	6984722.62	8608943.42	7288781.82	8284360.81	7725615.33	7291081.86	8579168.43	12526787.19	10473848.42	12166255.66	36217503.55	36931108.53	16776259.6	16776259.6	9970132.33	13080005.78	10915276.89	9214355.31	17231472.03	9909986.25	8123427.64	7737407.89	7917514.45	8282262.57	7867462.3	8829792.24	12901849.75	12229606.77	8967868.7	13644524.87	10570920.99	7697735.03	10125366.64	10288614.79	9166384.59	11024501.74	11024501.74	10843939.97	12173524.19	14408427.96	8992475.76	14231865.64	11229699.72	9725023.33	8163337.84	8453247.18	8964440.71	9269674.29	12637453.16	12867994.67	13015385.75	8599821.09	8756555.89	8201696.79	7953219.14	9412087.16	10926137.22	10520528.21	11145410.71	11145410.71	10076644.14	13801211.66	10477435.27	9228833.57	16928412.65	9862049.61	8466648.79	9095111.34	9042847.46	8655265.84	8164925.44	11036798.91	12756763.9	13148454.71	8846033.15	9867400.41	8074336.71	10333224.26	8606380.95	10048220.43	8667691.92	12165054.0	12165054.0	11367977.09
MPSK1	9255303.93	5717381.08	6622944.01	7804111.91	6817073.51	7060884.06	4778434.26	5483793.12	5206774.35	5936632.72	5762087.27	6610138.79	6767292.61	6344165.74	5940894.89	8922137.68	5758764.3	5248082.59	4161828.55	3484868.53	5069974.21	5069974.21	3897535.83	8350146.48	6578210.66	6548052.82	7007380.2	7308545.42	10265870.92	5621774.08	5217946.96	5555517.72	5610706.12	6563212.32	5936635.61	6392967.16	5487661.71	6170793.18	6508266.91	4954113.35	4662628.86	5170459.56	3932830.85	4894388.46	4894388.46	3842335.21	14651210.89	4552299.71	5581736.59	7955435.65	5496489.24	9478471.38	8438921.64	11159319.44	5041501.64	4788711.8	3787497.41	4700974.48	4170187.56	4645739.93	4814365.66	5429719.6	4674336.08	3952756.4	2670804.73	2767514.6	4871094.22	4871094.22	2635894.96	23459462.77	4560881.53	7937225.27	6276550.49	6543859.13	14482817.18	4837727.11	6748493.84	5661838.25	5698209.14	4165409.44	3821141.46	3301599.54	4120794.47	3129248.12	5269997.88	3717245.66	2798616.84	2249762.27	1978744.43	11029577.02	11029577.02	2203649.93	11062170.59	14611367.54	5824464.76	5933271.5	8976500.61	11869605.3	4569059.53	3553963.48	4426069.71	5498794.34	5622201.4	7349829.98	5489123.63	15463458.14	9418424.48	8022207.6	4790177.53	4972965.72	2255193.9	1846152.44	2377166.09	2377166.09	1863347.38	5714437.5	30858209.02	5184492.03	7760316.33	7761798.06	10755124.12	3694887.05	3810151.41	3288695.02	3183944.74	3788081.14	3808784.53	7120625.7	5730295.91	7715146.1	14807890.54	3721337.71	15217388.55	2284490.54	1295705.85	2062140.82	2062140.82	1726386.52	5985190.85	7275005.5	11620698.76	7102242.1	9297470.53	9137357.16	6111636.13	5741878.49	5300995.75	4761427.85	5500172.12	6252134.87	4917950.75	5136809.85	4889967.95	6133384.78	6912994.24	4559847.1	3871849.91	3497799.14	2329479.3	2329479.3	2085162.97	5791783.94	9331882.74	5864522.76	6128677.11	8677316.34	13377531.94	5194224.54	5061833.41	4566596.54	4965414.52	5389325.44	5520109.03	4804093.98	5531483.22	7686131.16	9730889.23	5487246.83	5057052.44	3025698.49	2795008.94	2920732.08	2920732.08	3406655.13	6541547.33	7343084.02	5984748.05	6767847.4	5443182.08	8671948.38	5041222.55	5857282.23	4980454.1	5219525.71	5299282.52	7677639.27	9465823.73	6403327.5	6894737.61	7828381.79	5962102.86	4451019.46	3096067.41	3377948.24	2622214.13	2622214.13	3248182.62
MRCKA	19972096.55	18879200.18	23266272.96	21876566.46	42664024.67	55545429.74	17586639.38	20641903.11	23140750.0	18960630.73	24420379.21	24402391.17	24269979.45	31133617.93	101541717.7	89635147.29	27328414.79	20621853.8	14482650.63	9620444.83	16565429.4	16565429.4	11737400.13	28753071.73	22108196.23	19895861.42	22186437.64	35163806.1	40337058.35	18511553.32	18806346.52	20477250.08	23197613.12	21907337.87	20756742.32	26066912.59	35280401.8	65838032.08	89625554.22	24483340.61	25799733.25	15303017.34	14398495.3	15809847.45	15809847.45	12743475.01	17249895.13	15377482.56	16544405.73	20835195.11	25070136.31	28853935.37	9813140.91	10260292.18	11435722.37	12309777.03	14742696.24	16306879.82	21628512.04	45190664.79	90434876.05	245307692.39	26079718.4	18572561.4	11885896.22	8013239.06	12828939.06	12828939.06	13137080.15	16082500.59	14391104.4	13447090.92	15579357.35	26377276.87	45888202.34	9756197.43	8904210.52	13880425.43	16941555.86	17324512.39	24845244.84	28438684.56	41773572.57	83564874.67	199467083.93	32467072.44	28548620.95	10210000.42	7530527.47	10160136.81	10160136.81	11779828.99	41042047.58	31441625.77	17629305.63	18720388.3	25614148.18	30506419.15	16902509.02	14481827.94	42349335.21	32328502.87	20600511.49	25479095.39	19313967.53	40494188.93	86617449.22	46309269.67	36097003.84	36693930.43	21354952.89	13913469.51	9040848.46	9040848.46	12644282.87	8057361.0	19561188.79	13156790.64	27426982.95	33516353.88	43983298.93	20691429.75	37088095.87	41223350.91	33306093.49	18483772.13	18104256.6	19981030.67	22133830.32	22147920.94	27056791.03	27222236.48	42449990.57	10939678.65	10028560.84	14652410.41	14652410.41	28521114.58	26881865.79	25783032.91	23944936.68	25001913.59	39654369.58	36469554.41	26361812.35	37996837.35	37120902.3	22436226.39	29224262.49	24561818.88	23268082.41	25828739.4	24647619.05	21205082.9	16627946.0	21510117.75	18657486.56	9267530.61	23687584.32	23687584.32	19424264.81	25712404.35	34638987.98	15815414.91	26093143.14	34774004.84	38860380.74	18358066.76	23821010.48	20639048.02	19472240.56	30176433.52	30822191.67	29289490.01	33261774.07	40917449.89	26486361.73	34077602.79	23903231.97	18904042.47	18324226.26	22841816.46	22841816.46	20542320.57	24226214.32	18872597.19	14601003.83	17246131.43	17671209.07	21971098.81	15725931.98	15842252.55	19023238.84	17642067.03	22322203.47	20026279.94	30912124.03	23727585.41	24432909.0	21074813.15	21494760.69	23364562.68	16167861.66	14549210.38	28003155.91	28003155.91	22874780.43
MRCKB	8451019.75	10065901.23	8901426.61	11993745.51	20304762.26	23304190.23	7417550.56	7610742.63	6231473.42	6409896.44	8143174.09	8264324.18	7299519.92	9566054.86	24528862.7	27113555.26	7594996.62	7845107.69	4129314.37	4628764.64	5898354.49	5898354.49	5986157.35	8325991.77	9290009.65	9069645.41	14541254.49	12453168.91	12949617.96	6080556.95	6207234.52	6674540.56	7396161.7	6851435.53	7009592.4	8096985.21	10116214.15	23467771.63	28938253.96	8121100.98	7217754.73	4507635.11	4830444.06	6176121.42	6176121.42	5324566.14	4706933.16	5575518.75	7050725.49	13373111.49	9829766.3	11285288.08	4247652.37	4847020.48	4130531.71	4564390.13	4830445.35	5393487.54	6644266.69	13093429.49	32308084.76	98245434.28	8217217.17	6642280.01	2523257.1	2587803.89	4467122.12	4467122.12	6915559.9	5196060.23	5395661.64	5730835.04	11490355.36	11174851.17	15004290.89	4762087.0	5023961.0	5078634.64	5504043.17	5299626.69	7095816.56	8610259.39	11868804.45	33322468.99	77521143.2	9578224.65	9445438.07	2348132.14	2176166.24	3948006.24	3948006.24	3831139.64	7357529.5	8272028.39	6875089.33	13753312.44	10330320.07	11822675.21	6242022.36	5353022.57	12697678.51	9718219.74	5172542.0	9086057.08	6068136.81	11343402.88	22992830.9	20158588.96	10184988.31	11195377.43	3550651.35	2930285.42	3221320.34	3221320.34	4374012.4	3079838.25	6118387.96	6636828.37	22612469.01	9725880.09	12843268.87	7488929.63	11822269.35	13270221.12	9434924.9	5910001.46	5604454.77	6492816.35	7332706.21	6594128.72	10773601.86	8226328.4	14384176.14	3048434.81	3313280.1	3652425.64	3652425.64	4211107.28	6965687.92	9065471.29	10054145.06	18469420.15	11633218.83	13766365.26	9333890.18	10893781.81	6747978.29	6810209.08	7739240.65	9262268.62	7730712.21	9873597.81	13056750.88	13623070.63	5786873.01	6773335.29	3872082.4	3085802.78	6307822.26	6307822.26	6168562.99	8460273.9	13480871.72	8784434.8	19382157.72	13637768.76	16608194.04	8912571.39	9139788.7	8011292.97	8985855.52	9631460.52	12692326.1	10062000.27	11394265.0	9800027.84	14460901.78	7899375.4	8743263.86	5224276.36	6231107.72	5546037.56	5546037.56	6730048.21	13734635.43	10656016.53	7860294.51	16900136.46	11739563.79	14640221.06	7822486.03	9185961.58	8466378.42	9142457.19	8164871.08	9245791.43	12237006.78	10999822.49	13308597.4	15129484.15	10760989.36	8512377.23	7165754.72	6629678.26	6937652.15	6937652.15	6811031.06
MSK1	16635158.35	21301369.81	18794679.72	20118297.09	20056967.25	15778698.27	13973909.48	14042185.99	18595235.45	17337260.95	16411381.65	15702570.99	21625538.7	18571823.69	21717437.26	40749967.79	13960575.19	14601452.3	11727997.74	10763435.52	12255313.98	12255313.98	13459487.35	24171842.41	28756561.33	21484555.14	18272210.2	27491030.23	19371201.97	14537825.63	15210855.62	17674792.57	23473176.58	17050546.03	20847026.12	18849125.82	25743781.69	29430673.91	44703399.5	20045445.51	19908325.11	13992223.68	16584537.83	15264481.98	15264481.98	15291798.78	13095723.25	11119079.47	15991351.92	13068138.58	19089750.43	12360130.61	6278011.45	6364964.31	6526332.25	8676788.07	7839353.66	10825775.97	15791418.36	26359208.54	26196190.31	183728862.45	14820761.85	11347323.65	6540615.63	6984771.21	9050164.15	9050164.15	12001616.16	7706433.41	14178950.05	16528268.81	12934208.74	39419210.87	25807062.93	6669882.14	5710027.78	9328224.28	9338351.57	8398409.58	8391401.29	8928265.93	22355899.57	37835428.79	156277804.73	17706665.86	14555275.25	6633919.88	6422786.59	6813378.96	6813378.96	8233245.25	39891030.79	20958859.54	19202986.07	12798049.48	30091449.93	18032084.56	11420662.11	10658013.73	26121585.16	25576454.1	18806321.08	24595766.16	18222375.91	28371385.55	38386911.43	36721867.33	28202929.7	34788837.76	21488848.51	13325576.69	11046289.61	11046289.61	22024715.63	5570798.98	12068654.73	14717564.08	20456196.8	34269838.34	26885123.86	23022541.96	28173053.33	25121468.23	28388120.44	27423457.11	23741155.22	23094761.85	19777262.4	11747987.29	10284886.66	22597843.36	18602410.74	13776416.95	16015837.42	31257354.38	31257354.38	31974464.63	13582763.06	19311208.14	21051772.01	39868081.68	57363556.86	26459962.98	18948266.29	15813569.31	22213583.01	18259657.16	23066884.08	29966080.58	24131738.6	37210480.64	10201932.17	12161828.37	17178819.05	29695803.43	51341337.55	33503731.87	43954628.73	43954628.73	29340988.84	24469675.16	24670971.05	20819882.16	28839229.22	39811323.84	19163621.65	17841278.86	18433077.17	27106239.65	24490312.46	27918507.61	28969364.78	33293945.89	33661950.03	16823336.77	14345158.5	24692864.63	22976548.86	32456827.36	31602389.42	40357531.75	40357531.75	38195554.62	36315978.65	24280215.45	19938630.25	31723987.09	40203833.97	31288762.0	17410938.03	17226364.51	18784775.3	19053025.56	20852835.15	22048738.63	23184345.59	29715235.69	14204524.42	13309594.9	26999288.99	28895501.77	39490639.18	39119998.5	69527169.12	69527169.12	37854600.75
MSK2	7317953.46	8732537.77	8755018.52	11258168.87	10855178.86	6923349.38	6377219.29	7077192.25	8284809.44	7069120.72	8303322.39	6863464.34	9851631.65	9859195.81	10322549.13	16182520.17	6853643.96	7181588.45	5766215.79	5455497.69	5316199.97	5316199.97	6636016.25	8573154.0	9767536.98	9139921.53	9374586.55	10771179.58	6043301.64	4947793.1	5638648.91	5760925.04	7120326.69	7358934.7	8844040.91	9558262.08	9891872.37	11155261.44	15338860.07	9206160.27	8571524.47	6066874.46	7236384.07	5917173.57	5917173.57	6867693.09	5699384.54	4139431.97	6847380.52	6658273.11	6704273.54	3660486.71	2202573.23	2293906.74	2536575.49	3316533.66	4199988.01	4935378.91	6571573.77	7271146.7	8143776.78	77444079.19	5710704.01	4208482.93	2842557.55	2929906.32	4583704.3	4583704.3	4367562.92	3681622.79	6646829.18	7809927.86	7390701.26	16140014.16	12360003.85	3034423.98	3036847.02	4442889.26	5393344.22	6417335.07	5654894.69	6415193.12	7925462.19	10276154.13	52973117.28	7587020.87	7377912.65	3521519.95	3543922.74	3595497.7	3595497.7	4307799.55	11454667.61	9703636.47	6538837.62	5775195.8	11935624.37	6618476.04	4473962.06	3859465.94	6948425.42	9160814.98	6575973.33	10041775.73	7885133.89	9153341.53	12395852.79	13152694.72	10431719.46	13755221.28	8746038.27	4974233.12	3644707.96	3644707.96	11116994.1	2664660.19	4224811.27	5130920.65	7655517.33	12208256.1	9448468.78	9598723.64	9745649.77	7719569.48	9783714.38	10016694.32	11109661.57	14574220.91	9359561.75	4895457.69	5950536.55	8490891.63	7232996.28	4794625.25	5947356.73	8596110.49	8596110.49	12145166.95	4236208.37	5505433.93	6817520.84	11436871.11	23072913.89	7663495.81	6841963.7	7207271.05	5912392.37	7706809.03	7806986.43	10014317.01	11786231.2	14431032.36	6106110.42	7367457.84	7399724.86	12218330.13	13685481.73	9039176.78	10004371.42	10004371.42	9951013.15	8198482.95	8928664.77	6796990.62	9543253.51	10395160.28	5384641.61	6319335.08	7057354.06	8688747.83	9028691.86	9393516.88	10154411.64	14079812.39	11293984.44	6180359.74	5898955.87	8264236.86	8140307.14	9793576.62	9794001.47	9972674.68	9972674.68	12762948.99	9471102.85	9536151.6	7300734.39	10612076.69	11147702.32	7413186.39	5532071.2	6643470.94	6770333.15	7502545.35	7477627.83	6234202.48	9223133.13	11667757.86	8086699.28	6403675.71	10822203.9	10648054.0	12364096.04	11507993.34	15838156.11	15838156.11	12042345.84
MST1	4030755.6	3999446.34	4173714.37	4069259.8	5720958.33	13621253.03	2554290.99	1982011.11	1923798.87	2257118.95	2395239.62	2767087.46	3276680.78	2772585.46	3518517.47	2491397.49	2562292.1	3256184.84	3764318.58	3340011.33	4241075.51	4241075.51	4072925.19	4695478.21	4343772.36	2978919.63	3258496.0	5354146.51	9557076.17	2139391.14	1777292.71	1794735.03	2172496.57	2499874.73	3413434.61	2763213.52	3175266.14	3016825.46	2742251.75	2796184.22	3361590.56	3688921.93	3668700.56	4019086.13	4019086.13	3495093.13	4219519.09	4118237.59	2483295.83	3153512.73	5190689.38	8875584.21	1704856.35	1517610.67	1597870.33	1986319.49	2182776.03	4309682.95	3701419.3	2791116.79	3502792.51	2500212.45	2951453.56	3991575.81	3463351.65	3341934.83	3911181.5	3911181.5	4500151.26	2860912.38	3774259.97	3282540.11	3310708.6	4232371.11	6686187.81	1544965.86	1392575.37	1557582.71	2086443.03	4808264.08	6436008.96	3998688.6	3172438.07	1940859.01	1789005.86	2522863.82	3816981.34	3624583.37	2972356.93	3069987.09	3069987.09	3689696.62	3325385.91	6446618.84	3328889.63	2468049.64	3374227.7	4814224.16	1305011.66	938284.04	2201568.87	2437923.17	1727993.15	3823489.98	2088663.87	4140832.58	6941210.34	5639699.3	3505173.55	5392691.33	3249007.24	1983657.39	2180680.32	2180680.32	2334545.91	1063579.38	2092787.02	1660759.74	3129435.89	2675385.15	6191482.51	1661135.74	3323928.73	5067665.2	5709857.17	1745752.14	1968857.53	3094300.37	1454387.18	2632173.11	2113216.47	1820612.23	1677856.01	682223.31	660497.24	2121420.54	2121420.54	1300982.14	2693278.43	2039688.58	2024834.61	2148305.41	2734034.24	6290417.66	1704819.97	1387680.94	1693866.86	1754448.24	1289684.09	1851373.14	1748331.42	3030802.72	7419666.02	7011603.05	2026608.31	2690458.54	1347781.58	1482196.32	2530339.95	2530339.95	1490155.87	3625876.31	2971307.19	2143726.01	2305336.96	2978271.47	5461865.91	2116376.15	1966876.06	2761042.09	2629825.16	2031741.11	3371172.53	2960185.52	2805110.65	6804350.88	6239302.52	2702126.18	2539795.53	1601889.08	1311586.25	2587560.02	2587560.02	2502300.59	3495402.48	3408629.94	2942968.27	3045068.31	3763514.95	6077412.5	2095624.17	2177226.41	2135744.78	2233744.44	2225433.94	3265977.55	3932213.99	2861461.7	4363809.76	3748198.32	2675225.6	2347204.32	2052337.88	2054185.29	2401321.17	2401321.17	2146764.95
MST2	612591700.61	493211731.42	515706717.35	792929934.23	1111587250.03	1945053527.45	443835717.2	299560145.29	409532845.05	407477793.4	486910841.94	513828280.06	573861457.11	574606051.71	391219288.83	351160612.32	528653132.66	548998404.19	730043221.09	597102191.05	526608426.06	526608426.06	617370235.85	498602074.05	542801699.87	491641755.47	628243071.61	956093339.7	1741285772.37	435677534.64	269965888.43	322129809.57	424800612.55	575883460.34	677427481.61	603734184.69	578359251.49	441761546.31	474513616.51	710320562.13	630540647.9	709927766.71	763188778.14	583153647.93	583153647.93	643783222.76	548506736.08	583514306.11	475162300.81	506249528.78	918749741.85	1626823834.72	325746467.58	234381658.7	305706222.88	370010745.61	467956835.74	713269647.05	906737016.66	487060310.82	263257326.16	306322617.61	583429650.27	613987936.02	762351497.49	705500845.13	599111931.96	599111931.96	643833866.52	277959931.94	458566600.7	438198122.5	478447045.39	702959347.8	1107468991.5	257538823.71	228973943.15	256083525.8	439253751.78	822094937.74	1084594536.2	816271712.55	590934752.05	222205203.37	236457025.99	477228454.09	661629731.24	649054148.08	594645213.78	521052811.22	521052811.22	780072898.59	373439508.43	687951600.24	412551361.73	359917899.45	668516539.39	882640229.88	270594253.26	183403252.6	485356171.47	435369989.79	344372509.47	481207988.96	433373610.92	596828093.36	621455472.07	414236531.05	665365260.04	921751514.12	1129128869.47	542418895.96	449623197.24	449623197.24	316842122.19	110061175.24	308382611.78	280003887.57	444813492.13	544325075.02	1400651213.02	462163382.16	811958039.2	1002802308.24	1168091429.25	382203336.14	335543552.57	790985342.59	245428405.02	177396564.19	202901184.92	322111535.27	249399923.32	146688286.88	203409268.29	439112029.92	439112029.92	267745712.89	372513396.62	374462742.3	295305597.0	338798409.51	799969338.22	1660720883.39	379704475.97	270113086.2	348940731.52	349140675.64	258058808.36	318010175.32	279063538.91	752227608.5	1427495483.6	1195441536.77	650265989.87	830931894.19	255396966.45	279488944.85	532712564.41	532712564.41	276505021.75	473720591.28	493020598.89	370531312.99	415631393.74	587966132.61	1174626160.7	357300717.95	376582472.75	451775244.07	382662137.03	369446942.56	411717934.92	399604049.43	481243958.72	609319707.7	628372352.97	457511727.76	485538500.18	316234038.16	281167725.16	389059111.94	389059111.94	333244021.88	503419328.33	619637513.13	443103476.61	501973934.42	977356745.06	1342981788.68	372463604.03	319711751.85	406942848.05	436497377.88	326044830.58	359678549.46	476425915.5	482147195.83	540153423.33	364572936.22	532312085.41	466700307.96	386189518.34	236998085.52	391859638.98	391859638.98	321008052.55
MST3	122938054.71	123204490.49	137563978.79	108058791.54	160944365.88	236918526.08	87384478.18	73276765.07	73870736.19	69867728.32	89717632.5	89135264.24	93101263.32	110342906.12	192483761.78	154236179.49	95146517.83	92645034.08	70736805.65	70820570.45	147099381.23	147099381.23	119002298.32	102560337.83	145769428.3	124299352.95	115329947.52	158174892.98	207704685.55	84154269.79	81030651.07	81771393.4	88321488.3	94593748.38	103685337.16	109629914.47	117958003.8	164721493.33	164077154.87	110450668.56	105829815.97	80459198.55	94802868.18	144916747.39	144916747.39	91170288.63	97194729.6	150257457.63	103778365.73	107814671.82	157527009.61	231750426.27	71902245.09	68366205.13	74630976.38	74751363.32	86624628.13	102788178.78	105950568.76	106661036.93	186035756.63	173515216.63	94703757.96	107332265.75	58782217.21	59359394.6	162867674.55	162867674.55	116974271.11	81111276.75	141910568.9	104857131.5	124647906.74	151510177.91	248905789.51	87970602.27	82825829.72	67336404.27	74336054.7	126478484.0	173932096.5	121369660.17	152577037.73	149531584.62	152171651.61	96467983.83	110937934.58	41134195.15	36490131.09	135924978.19	135924978.19	88241510.4	82032234.8	205322119.12	110610695.57	104150843.72	123179850.4	130388239.59	59611273.2	46929235.56	107009069.82	97927346.63	85336260.03	107142703.68	88327028.39	122877865.42	171346049.89	194995822.54	103162386.04	138170960.01	83206254.85	52741201.9	94491500.56	94491500.56	120008687.33	36149508.04	44918242.44	56551928.61	117253238.02	94122114.14	185278122.57	132592123.34	159511914.58	158870984.77	144885838.86	116022297.41	113063330.96	186359411.36	85268981.92	74495329.67	82803059.33	60685137.64	49286855.91	14996707.74	15743401.2	107019690.06	107019690.06	43963004.75	91355434.89	126045739.63	103854441.21	85088509.6	166551254.87	237539770.6	69646236.64	55814905.35	53470565.03	67962252.93	53278089.74	69964867.8	70815929.35	125989967.48	351135215.43	427754161.26	89320864.52	98550972.07	38917683.91	30372062.99	118808396.62	118808396.62	44053191.26	86668792.15	124185407.87	103085790.54	109473079.48	136751419.52	174665463.37	89461502.55	89348704.08	108634921.9	91119077.54	107919012.88	104555146.14	112239077.64	126077083.28	225951241.53	193002038.36	88857175.98	87795832.46	50235753.37	47884485.24	96439221.98	96439221.98	80833738.29	100050056.49	102875345.42	101177165.61	84817397.94	117460625.53	153838785.71	72756224.5	76348949.63	75216683.76	88901119.0	71337433.65	79836095.37	109279767.76	107699193.67	255722162.79	234930015.42	98285615.69	104845332.75	54206592.65	52410518.69	84137569.04	84137569.04	57770208.15
MST4	14592310.95	19087014.5	22626240.64	20467623.02	34306177.73	22300739.58	18627980.38	17153761.17	14443977.91	13657119.47	14345184.41	14994253.18	17877209.3	19337829.27	35476913.43	29670182.9	18467173.57	18342387.72	13028407.66	12047471.29	15868984.93	15868984.93	15389768.98	15440197.03	19062856.58	21249592.6	17585590.39	29447215.9	17919960.34	16748187.98	14573896.54	11977094.63	13584263.09	13546222.97	15386082.0	16533060.49	20485320.7	28721531.07	28761353.93	16484153.61	18953121.54	13084321.65	13996396.08	16820255.22	16820255.22	12122458.89	13483037.91	19911010.21	14748461.31	16480062.81	33474433.32	20485851.95	15423025.38	12974229.43	12123488.04	14413404.77	13747241.8	15035808.34	17195765.59	18371734.78	42123690.58	40368909.37	16467071.73	21028900.08	11390415.44	11235774.22	17885174.89	17885174.89	18155185.96	11881506.21	21723403.1	17069395.96	18663826.32	37687952.05	23712770.85	16977801.7	13678873.44	9903216.48	11045592.31	17519359.76	18936998.01	18283227.43	24317241.08	37496540.78	36610902.68	15890916.68	20715706.53	7646185.34	6723461.56	18934397.18	18934397.18	21425582.81	11769351.07	49235386.14	16217291.96	19920057.03	23798076.46	16900656.98	10310470.78	8483568.48	16656230.53	14213320.4	10658926.74	12947237.26	17520370.27	23712932.7	46192229.21	46000757.91	20015205.97	29756039.28	19078538.97	10151099.7	17360123.99	17360123.99	25626034.69	6026217.05	9441219.66	9614501.44	17798404.93	23516351.87	16836292.22	22751367.38	25231340.1	28912604.53	21113038.77	20076037.74	18210070.55	51833039.44	13045996.86	10788357.94	11702564.77	10394497.57	8582483.71	4297306.16	3397934.88	11693626.54	11693626.54	9784154.19	20312157.98	43133840.7	10299072.46	14692951.86	47924991.07	22167677.1	10172133.22	10055481.19	7913644.47	7038447.33	4848315.01	6417767.95	7747628.38	20905921.0	68619001.71	54430852.89	15224422.64	25062190.96	11906835.99	10211515.69	13893196.36	13893196.36	7243820.08	12370403.54	28064275.02	16924986.03	15886050.02	27567029.67	13854517.78	14605441.52	15507758.04	20372152.95	12969464.96	16894985.96	14903677.03	15829867.41	19509840.8	49657060.78	41895171.86	14402546.85	14981059.03	11334696.44	10197676.48	11342036.11	11342036.11	13882545.17	18481728.01	22120763.8	20591486.08	17743531.85	30531810.32	39738335.59	19510958.06	21682592.92	17202845.29	18268618.91	13964390.29	22182227.49	30799004.66	23640131.18	44809081.5	42233550.05	20807093.04	19256637.55	12018506.88	12006254.41	18190069.23	18190069.23	12063012.2
